track_id,track_name,artist,popularity,release_date,danceability,energy,valence,tempo
7KPcippmg9MvPzb3dzNpQW,Angels For Each Other,Martin Garrix,71,2025-03-13,,,,
6bmmHeCvZI92pRiTHxEdTC,O Maahi,Pritam,75,2023-12-20,,,,
5PUXKVVVQ74C3gl5vKy9Li,Heeriye (feat. Arijit Singh),Jasleen Royal,79,2023-07-25,,,,
4MU4Kfkd9EnkArK2ocQyqK,Zaalima,Arijit Singh,73,2023-05-26,,,,
5zCnGtCl5Ac5zlFHXaZmhy,"Sajni (From ""Laapataa Ladies"")",Ram Sampath,81,2024-02-12,,,,
13O0A6hqW8oHtQPr2I1vvd,"Tum Kya Mile, Pt. 2",Pritam,59,2024-05-15,,,,
3ZDr3LJNCHailBSkpc29SF,Weightless,Martin Garrix,70,2025-04-11,,,,
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,82,2019-05-31,,,,
2e4vEkdm8h8mNnGHSBfTMT,Ve Kamleya,Pritam,62,2024-05-15,,,,
0qQ4IdhjzNr0gJhdMTf2n3,"O Maahi (From ""Dunki"")",Pritam,75,2023-12-11,,,,
76ec1a1bkFfOqoVf6e7nae,"Zamaana Lage (From ""Metro ... In Dino"")",Pritam,65,2025-05-28,,,,
2PvaburAUlhNHxVhw5lvOq,"Humdard (From ""Ek Villain"")",Arijit Singh,78,2020-05-19,,,,
0YdGMQLUfkAude5fulp0b3,"Sar Aankhon Pe Mere - From ""Sitaare Zameen Par""",Arijit Singh,51,2025-05-29,,,,
1J9vyEntJ79CppvgUxJs75,Zaalima,Arijit Singh,75,2017-01-24,,,,
3yHyiUDJdz02FZ6jfUbsmY,"Satranga (From ""ANIMAL"")",Arijit Singh,81,2023-10-27,,,,
4ebGjbay0OmsBNUwo0M6u6,What Jhumka ?,Pritam,57,2024-05-15,,,,
47qvRwyQjdRGzpIj1IfAwB,Yedisthe Rarevaru - Lofi Chill,Arijit Singh,17,2025-05-19,,,,
2ZD4aIEepqZsdxPxLSuUhm,Tere Pyaar Mein,Pritam,75,2023-02-01,,,,
1hA697u7e1jX2XM8sWA6Uy,Apna Bana Le,Sachin-Jigar,79,2022-12-06,,,,
7Ky9U9iHjGBiRax3joCRDS,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,57,2023-05-16,,,,
